Date;PX_ASK;PX_BID
31.08.2021;#N/A N/A;40100
27.08.2021;#N/A N/A;40100
26.08.2021;#N/A N/A;40100
25.08.2021;50100;40100
24.08.2021;#N/A N/A;40100
23.08.2021;#N/A N/A;40100
20.08.2021;#N/A N/A;40100
19.08.2021;#N/A N/A;40100
18.08.2021;51250;40100
17.08.2021;52000;40100
16.08.2021;#N/A N/A;40100
13.08.2021;#N/A N/A;40100
12.08.2021;#N/A N/A;40100
11.08.2021;#N/A N/A;40100
10.08.2021;#N/A N/A;40100
09.08.2021;#N/A N/A;40100
06.08.2021;#N/A N/A;40100
05.08.2021;#N/A N/A;40100
04.08.2021;#N/A N/A;40100
03.08.2021;#N/A N/A;40100
02.08.2021;#N/A N/A;40100
30.07.2021;#N/A N/A;40100
29.07.2021;#N/A N/A;40100
28.07.2021;#N/A N/A;40100
27.07.2021;#N/A N/A;40100
26.07.2021;#N/A N/A;40100
23.07.2021;52500;40100
22.07.2021;#N/A N/A;40100
21.07.2021;#N/A N/A;40100
20.07.2021;#N/A N/A;40100
19.07.2021;#N/A N/A;40100
16.07.2021;55500;51000
15.07.2021;55600;51750
14.07.2021;55600;40100
13.07.2021;#N/A N/A;40100
12.07.2021;#N/A N/A;40100
09.07.2021;#N/A N/A;40100
08.07.2021;#N/A N/A;40100
07.07.2021;#N/A N/A;40100
06.07.2021;#N/A N/A;40100
05.07.2021;#N/A N/A;40100
02.07.2021;52900;50500
01.07.2021;52800;40100
30.06.2021;52360;50000
29.06.2021;51800;48500
28.06.2021;#N/A N/A;40100
25.06.2021;#N/A N/A;40100
24.06.2021;#N/A N/A;40100
23.06.2021;#N/A N/A;40100
22.06.2021;#N/A N/A;40100
21.06.2021;47350;40100
18.06.2021;#N/A N/A;40100
17.06.2021;47000;44000
16.06.2021;45000;41750
15.06.2021;45750;41250
14.06.2021;#N/A N/A;40100
11.06.2021;#N/A N/A;40100
10.06.2021;#N/A N/A;40100
09.06.2021;#N/A N/A;40100
08.06.2021;#N/A N/A;40100
07.06.2021;#N/A N/A;40100
04.06.2021;#N/A N/A;40100
03.06.2021;#N/A N/A;40100
02.06.2021;#N/A N/A;40100
01.06.2021;#N/A N/A;40100
28.05.2021;#N/A N/A;40100
27.05.2021;#N/A N/A;40100
26.05.2021;#N/A N/A;40100
25.05.2021;44095;40100
24.05.2021;#N/A N/A;40100
21.05.2021;#N/A N/A;40100
20.05.2021;#N/A N/A;40100
19.05.2021;#N/A N/A;40100
18.05.2021;43650;40100
17.05.2021;44100;40100
14.05.2021;44100;40100
13.05.2021;#N/A N/A;40100
12.05.2021;44650;40100
11.05.2021;44650;40100
10.05.2021;#N/A N/A;40100
07.05.2021;#N/A N/A;40100
06.05.2021;#N/A N/A;42500
05.05.2021;#N/A N/A;42500
04.05.2021;#N/A N/A;42500
30.04.2021;45200;42500
29.04.2021;#N/A N/A;42500
28.04.2021;#N/A N/A;42500
27.04.2021;46500;42500
26.04.2021;46500;42500
23.04.2021;#N/A N/A;42500
22.04.2021;#N/A N/A;42500
21.04.2021;#N/A N/A;42500
20.04.2021;#N/A N/A;42500
19.04.2021;#N/A N/A;42500
16.04.2021;#N/A N/A;42500
15.04.2021;#N/A N/A;42500
14.04.2021;#N/A N/A;43500
13.04.2021;#N/A N/A;43500
12.04.2021;#N/A N/A;43500
09.04.2021;#N/A N/A;43500
08.04.2021;#N/A N/A;43500
07.04.2021;#N/A N/A;43500
06.04.2021;#N/A N/A;43500
01.04.2021;#N/A N/A;43500
31.03.2021;#N/A N/A;43500
30.03.2021;#N/A N/A;43500
29.03.2021;#N/A N/A;43500
26.03.2021;#N/A N/A;43500
25.03.2021;#N/A N/A;43500
24.03.2021;#N/A N/A;43500
23.03.2021;#N/A N/A;43500
22.03.2021;#N/A N/A;43500
19.03.2021;#N/A N/A;43000
18.03.2021;#N/A N/A;43000
17.03.2021;#N/A N/A;43000
16.03.2021;#N/A N/A;43000
15.03.2021;55000;43000
12.03.2021;#N/A N/A;43000
11.03.2021;#N/A N/A;43000
10.03.2021;#N/A N/A;43000
09.03.2021;#N/A N/A;43000
08.03.2021;#N/A N/A;43000
05.03.2021;#N/A N/A;43000
04.03.2021;#N/A N/A;43000
03.03.2021;#N/A N/A;43000
02.03.2021;56000;52500
01.03.2021;55750;52800
26.02.2021;#N/A N/A;43000
25.02.2021;#N/A N/A;43000
24.02.2021;#N/A N/A;28100
23.02.2021;52800;28100
22.02.2021;52800;28100
19.02.2021;52800;28100
18.02.2021;#N/A N/A;28100
17.02.2021;#N/A N/A;28100
16.02.2021;#N/A N/A;28100
15.02.2021;#N/A N/A;28100
12.02.2021;#N/A N/A;28100
11.02.2021;#N/A N/A;28100
10.02.2021;#N/A N/A;28100
09.02.2021;#N/A N/A;28100
08.02.2021;48000;28100
05.02.2021;48000;28100
04.02.2021;45500;45200
03.02.2021;#N/A N/A;28100
02.02.2021;#N/A N/A;28100
01.02.2021;44500;28100
29.01.2021;#N/A N/A;28100
28.01.2021;42000;40500
27.01.2021;41500;40250
26.01.2021;41000;40000
25.01.2021;42000;39500
22.01.2021;41500;28100
21.01.2021;41250;38500
20.01.2021;37750;35500
19.01.2021;37500;28100
18.01.2021;37500;28100
15.01.2021;37500;28100
14.01.2021;37995;28100
13.01.2021;38000;28100
12.01.2021;37600;36500
11.01.2021;37000;36500
08.01.2021;37000;36500
07.01.2021;37000;35500
06.01.2021;36000;35500
05.01.2021;35000;28100
04.01.2021;34000;28100
31.12.2020;33000;28100
30.12.2020;33000;28100
29.12.2020;33000;28100
24.12.2020;33000;28100
23.12.2020;33000;28100
22.12.2020;32000;28100
21.12.2020;32000;28100
18.12.2020;32000;28100
17.12.2020;32000;28100
16.12.2020;32000;28100
15.12.2020;32000;28100
14.12.2020;32000;28100
11.12.2020;32000;28100
10.12.2020;32000;28100
09.12.2020;32000;28100
08.12.2020;32000;28100
07.12.2020;32000;28100
04.12.2020;32000;28100
03.12.2020;32000;28100
02.12.2020;32000;28100
01.12.2020;32000;28100
30.11.2020;32000;28100
27.11.2020;32000;28100
26.11.2020;32000;28100
25.11.2020;32000;28600
24.11.2020;32000;28600
23.11.2020;32000;28600
20.11.2020;32000;28600
19.11.2020;32000;28600
18.11.2020;32000;28600
17.11.2020;32000;28600
16.11.2020;32500;28600
