Date;Close Price;;;;;
6/23/16;23654,5;;;;;
6/22/16;23656,5;;;;;
6/21/16;23658,5;;;;;
6/20/16;23659,5;;;;;
6/17/16;23665;;;;;
6/16/16;23665;;;;;
6/15/16;23666,5;;;;;
6/14/16;23667,5;;;;;
6/13/16;23669;;;;;
6/10/16;23923,75;;;;;
6/9/16;23923,5;;;;;
6/8/16;23924;;;;;
6/7/16;23750;;;;;
6/6/16;23676,25;;;;;
6/3/16;23431,5;;;;;
6/2/16;23681;;;;;
6/1/16;23681,5;;;;;
5/31/16;23682,5;;;;;
5/27/16;23689;;;;;
5/26/16;23188,5;;;;;
5/25/16;23438;;;;;
5/24/16;23189;;;;;
5/23/16;23190;;;;;
5/20/16;23819,5;;;;;
5/19/16;23194,5;;;;;
5/18/16;23195;;;;;
5/17/16;23196;;;;;
5/16/16;23447;;;;;
5/13/16;23452;;;;;
5/12/16;23700,5;;;;;
5/11/16;23197,5;;;;;
5/10/16;23197,5;;;;;
5/9/16;23197,5;;;;;
5/6/16;23702,5;;;;;
5/5/16;23701;;;;;
5/4/16;23698;;;;;
5/3/16;23197;;;;;
4/29/16;23704,5;;;;;
4/28/16;23454,5;;;;;
4/27/16;23200;;;;;
4/26/16;22950;;;;;
4/25/16;23200;;;;;
4/22/16;23203,5;;;;;
4/21/16;23204;;;;;
4/20/16;23202;;;;;
4/19/16;22701;;;;;
4/18/16;22700;;;;;
4/15/16;22698;;;;;
4/14/16;22696;;;;;
4/13/16;23190;;;;;
4/12/16;23188;;;;;
4/11/16;23103;;;;;
4/8/16;22856;;;;;
4/7/16;22855;;;;;
4/6/16;23102;;;;;
4/5/16;22851;;;;;
4/4/16;22349;;;;;
4/1/16;22603;;;;;
3/31/16;21952;;;;;
3/30/16;22847;;;;;
3/29/16;22846;;;;;
3/24/16;22876;;;;;
3/23/16;22900;;;;;
3/22/16;23015;;;;;
3/21/16;23039,5;;;;;
3/18/16;23018;;;;;
3/17/16;23042;;;;;
3/16/16;22888;;;;;
