Date,Price,Net,%Chg,Open,Low,High,Volume,Bid,Ask
2019-05-29,46930.0,-260,-1%,47 100,46 750,47 170,19 809,46 760,46 770
2019-05-30,46590.0,-340,-1%,46 720,46 420,46 760,22 225,46 500,46 520
2019-05-31,46370.0,-220,-0%,46 360,46 100,46 490,23 214,46 100,46 160
2019-06-03,46130.0,-240,-1%,46 160,46 050,46 320,15 531,46 100,46 120
2019-06-04,46240.0,+110,+0%,46 260,46 170,46 370,11 420,46 200,46 240
2019-06-05,46480.0,+240,+1%,46 170,46 170,46 570,12 290,46 460,46 490
2019-06-06,45980.0,-500,-1%,46 480,45 830,46 480,16 765,45 950,46 000
2019-06-10,46190.0,+210,+0%,46 110,46 030,46 290,13 795,46 220,46 260
2019-06-11,46640.0,+450,+1%,46 170,46 170,46 830,18 505,46 810,46 840
2019-06-12,46530.0,-110,-0%,46 930,46 370,46 930,13 205,46 360,46 370
2019-06-13,46270.0,-260,-1%,46 400,46 150,46 520,11 555,46 130,46 270
2019-06-14,46370.0,+100,+0%,46 320,46 180,46 530,6 185,46 230,46 270
2019-06-17,46040.0,-330,-1%,46 290,45 950,46 290,3 145,46 030,46 110
2019-06-18,46270.0,+230,+0%,46 050,45 960,46 390,34 542,46 290,46 300
2019-06-19,46790.0,+520,+1%,46 600,46 490,46 980,45 117,46 800,46 810
2019-06-20,46810.0,+20,+0%,46 770,46 600,46 930,28 914,46 860,46 870
2019-06-21,46830.0,+20,+0%,46 970,46 660,47 160,34 198,46 790,46 810
2019-06-24,46780.0,-50,-0%,46 690,46 620,46 970,30 022,46 710,46 730
2019-06-25,46890.0,+110,+0%,46 820,46 690,47 060,28 977,47 010,47 030
2019-06-26,47240.0,+350,+1%,47 100,47 080,47 440,30 972,47 120,47 160
2019-06-27,47050.0,-190,-0%,47 050,46 800,47 190,21 514,47 020,47 060
2019-06-28,46970.0,-80,-0%,46 950,46 800,47 140,20 528,46 900,46 950
2019-07-01,47250.0,+280,+1%,46 960,46 920,47 360,18 119,47 300,47 310
2019-07-02,46630.0,-620,-1%,47 100,46 500,47 100,18 945,46 540,46 550
2019-07-03,46300.0,-330,-1%,46 500,46 180,46 500,16 145,46 190,46 220
2019-07-04,46400.0,+100,+0%,46 260,46 260,46 540,13 595,46 260,46 340
2019-07-05,46320.0,-80,-0%,46 380,46 200,46 460,10 725,46 260,46 270
2019-07-08,46320.0,0,0%,46 190,46 120,46 410,13 615,46 280,46 300
2019-07-09,46140.0,-180,-0%,46 500,46 060,46 500,14 995,46 110,46 130
2019-07-10,45870.0,-270,-1%,46 080,45 600,46 080,19 770,45 980,46 030
2019-07-11,46420.0,+550,+1%,46 350,46 300,46 520,13 000,46 420,46 500
2019-07-12,46560.0,+140,+0%,46 500,46 390,46 640,8 765,46 500,46 560
2019-07-15,46570.0,+10,+0%,46 410,46 410,46 800,3 850,46 650,46 780
2019-07-16,46860.0,+290,+1%,46 950,46 720,47 010,32 306,46 850,46 860
