Date;Close;Change;PCT;;;;;;
17-Oct-2019;36 000,00;0,00;0,00%;;;;;;
18-Oct-2019;36 000,00;0,00;0,00%;;;;;;
21-Oct-2019;36 000,00;0,00;0,00%;;;;;;
22-Oct-2019;36 000,00;0,00;0,00%;;;;;;
23-Oct-2019;36 000,00;0,00;0,00%;;;;;;
24-Oct-2019;36 000,00;0,00;0,00%;;;;;;
25-Oct-2019;36 000,00;0,00;0,00%;;;;;;
28-Oct-2019;36 000,00;0,00;0,00%;;;;;;
29-Oct-2019;36 000,00;0,00;0,00%;;;;;;
30-Oct-2019;36 000,00;0,00;0,00%;;;;;;
31-Oct-2019;36 000,00;0,00;0,00%;;;;;;
01-Nov-2019;36 000,00;0,00;0,00%;;;;;;
04-Nov-2019;36 000,00;0,00;0,00%;;;;;;
05-Nov-2019;36 000,00;0,00;0,00%;;;;;;
06-Nov-2019;36 000,00;0,00;0,00%;;;;;;
07-Nov-2019;36 000,00;0,00;0,00%;;;;;;
08-Nov-2019;36 000,00;0,00;0,00%;;;;;;
11-Nov-2019;36 000,00;0,00;0,00%;;;;;;
